Date,Open,High,Low,Close,Adj Close,Volume,FedRate,CPI,Confirmed,Deaths,Active,Ticker
2020-01-01,93.75,94.90049743652344,93.2074966430664,94.90049743652344,94.90049743652344,80580000.0,1.55,258.906,1.0,1.0,0.0,AMZN
2020-01-02,93.75,94.90049743652344,93.2074966430664,94.90049743652344,94.90049743652344,80580000.0,1.55,258.906,1.0,1.0,0.0,AMZN
2020-01-03,93.2249984741211,94.30999755859375,93.2249984741211,93.74849700927734,93.74849700927734,75288000.0,1.55,258.906,1.0,1.0,0.0,AMZN
2020-01-04,93.2249984741211,94.30999755859375,93.2249984741211,93.74849700927734,93.74849700927734,75288000.0,1.55,258.906,1.0,1.0,0.0,AMZN
2020-01-05,93.2249984741211,94.30999755859375,93.2249984741211,93.74849700927734,93.74849700927734,75288000.0,1.55,258.906,1.0,1.0,0.0,AMZN
2020-01-06,93.0,95.18450164794922,93.0,95.14399719238281,95.14399719238281,81236000.0,1.55,258.906,1.0,1.0,0.0,AMZN
2020-01-07,95.2249984741211,95.69450378417969,94.60199737548828,95.34300231933594,95.34300231933594,80898000.0,1.55,258.906,1.0,1.0,0.0,AMZN
2020-01-08,94.9020004272461,95.55000305175781,94.3219985961914,94.59850311279297,94.59850311279297,70160000.0,1.55,258.906,1.0,1.0,0.0,AMZN
2020-01-09,95.49449920654297,95.89099884033203,94.79000091552734,95.05249786376953,95.05249786376953,63346000.0,1.55,258.906,1.0,1.0,0.0,AMZN
2020-01-10,95.26850128173828,95.34700012207031,94.0,94.15799713134766,94.15799713134766,57074000.0,1.54,258.906,1.0,1.0,0.0,AMZN
2020-01-11,95.26850128173828,95.34700012207031,94.0,94.15799713134766,94.15799713134766,57074000.0,1.54,258.906,1.0,1.0,0.0,AMZN
2020-01-12,95.26850128173828,95.34700012207031,94.0,94.15799713134766,94.15799713134766,57074000.0,1.54,258.906,1.0,1.0,0.0,AMZN
2020-01-13,94.56549835205078,94.9000015258789,94.04000091552734,94.56500244140625,94.56500244140625,55616000.0,1.54,258.906,1.0,1.0,0.0,AMZN
2020-01-14,94.29399871826172,94.35549926757812,92.92749786376953,93.47200012207031,93.47200012207031,68818000.0,1.54,258.906,1.0,1.0,0.0,AMZN
2020-01-15,93.61250305175781,93.94300079345703,92.75450134277344,93.10099792480469,93.10099792480469,57932000.0,1.54,258.906,1.0,1.0,0.0,AMZN
2020-01-16,94.14949798583984,94.27950286865234,93.3010025024414,93.89700317382812,93.89700317382812,53190000.0,1.54,258.906,1.0,1.0,0.0,AMZN
2020-01-17,94.29450225830078,94.33200073242188,92.86250305175781,93.23600006103516,93.23600006103516,79946000.0,1.55,258.906,1.0,1.0,0.0,AMZN
2020-01-18,94.29450225830078,94.33200073242188,92.86250305175781,93.23600006103516,93.23600006103516,79946000.0,1.55,258.906,1.0,1.0,0.0,AMZN
2020-01-19,94.29450225830078,94.33200073242188,92.86250305175781,93.23600006103516,93.23600006103516,79946000.0,1.55,258.906,1.0,1.0,0.0,AMZN
2020-01-20,94.29450225830078,94.33200073242188,92.86250305175781,93.23600006103516,93.23600006103516,79946000.0,1.55,258.906,1.0,1.0,0.0,AMZN
2020-01-21,93.25,94.7135009765625,93.0,94.5999984741211,94.5999984741211,74156000.0,1.55,258.906,1.0,1.0,0.0,AMZN
2020-01-22,94.80449676513672,95.125,94.16699981689453,94.37300109863281,94.37300109863281,64326000.0,1.55,258.906,1.0,1.0,0.0,AMZN
2020-01-23,94.25550079345703,94.4990005493164,93.63800048828125,94.22899627685547,94.22899627685547,49692000.0,1.55,258.906,1.0,1.0,0.0,AMZN
2020-01-24,94.56849670410156,94.74949645996094,92.37200164794922,93.08200073242188,93.08200073242188,75324000.0,1.55,258.906,2.0,1.0,1.0,AMZN
2020-01-25,94.56849670410156,94.74949645996094,92.37200164794922,93.08200073242188,93.08200073242188,75324000.0,1.55,258.906,2.0,1.0,1.0,AMZN
2020-01-26,94.56849670410156,94.74949645996094,92.37200164794922,93.08200073242188,93.08200073242188,75324000.0,1.55,258.906,5.0,1.0,4.0,AMZN
2020-01-27,91.0,92.05000305175781,90.76699829101562,91.41699981689453,91.41699981689453,70570000.0,1.55,258.906,5.0,1.0,4.0,AMZN
