Date,Open,High,Low,Close,Adj Close,Volume,FedRate,CPI,Confirmed,Deaths,Active,Ticker
2020-01-01,3244.669921875,3258.139892578125,3235.530029296875,3257.85009765625,3257.85009765625,3459930000.0,1.55,258.906,1.0,1.0,0.0,^GSPC
2020-01-02,3244.669921875,3258.139892578125,3235.530029296875,3257.85009765625,3257.85009765625,3459930000.0,1.55,258.906,1.0,1.0,0.0,^GSPC
2020-01-03,3226.360107421875,3246.14990234375,3222.340087890625,3234.85009765625,3234.85009765625,3484700000.0,1.55,258.906,1.0,1.0,0.0,^GSPC
2020-01-04,3226.360107421875,3246.14990234375,3222.340087890625,3234.85009765625,3234.85009765625,3484700000.0,1.55,258.906,1.0,1.0,0.0,^GSPC
2020-01-05,3226.360107421875,3246.14990234375,3222.340087890625,3234.85009765625,3234.85009765625,3484700000.0,1.55,258.906,1.0,1.0,0.0,^GSPC
2020-01-06,3217.550048828125,3246.840087890625,3214.639892578125,3246.280029296875,3246.280029296875,3702460000.0,1.55,258.906,1.0,1.0,0.0,^GSPC
2020-01-07,3241.860107421875,3244.909912109375,3232.429931640625,3237.179931640625,3237.179931640625,3435910000.0,1.55,258.906,1.0,1.0,0.0,^GSPC
2020-01-08,3238.590087890625,3267.070068359375,3236.669921875,3253.050048828125,3253.050048828125,3726840000.0,1.55,258.906,1.0,1.0,0.0,^GSPC
2020-01-09,3266.030029296875,3275.580078125,3263.669921875,3274.699951171875,3274.699951171875,3641230000.0,1.55,258.906,1.0,1.0,0.0,^GSPC
2020-01-10,3281.81005859375,3282.989990234375,3260.860107421875,3265.35009765625,3265.35009765625,3214580000.0,1.54,258.906,1.0,1.0,0.0,^GSPC
2020-01-11,3281.81005859375,3282.989990234375,3260.860107421875,3265.35009765625,3265.35009765625,3214580000.0,1.54,258.906,1.0,1.0,0.0,^GSPC
2020-01-12,3281.81005859375,3282.989990234375,3260.860107421875,3265.35009765625,3265.35009765625,3214580000.0,1.54,258.906,1.0,1.0,0.0,^GSPC
2020-01-13,3271.1298828125,3288.1298828125,3268.429931640625,3288.1298828125,3288.1298828125,3459390000.0,1.54,258.906,1.0,1.0,0.0,^GSPC
2020-01-14,3285.35009765625,3294.25,3277.18994140625,3283.14990234375,3283.14990234375,3687620000.0,1.54,258.906,1.0,1.0,0.0,^GSPC
2020-01-15,3282.27001953125,3298.659912109375,3280.68994140625,3289.2900390625,3289.2900390625,3721490000.0,1.54,258.906,1.0,1.0,0.0,^GSPC
2020-01-16,3302.969970703125,3317.110107421875,3302.820068359375,3316.81005859375,3316.81005859375,3540580000.0,1.54,258.906,1.0,1.0,0.0,^GSPC
2020-01-17,3323.659912109375,3329.8798828125,3318.860107421875,3329.6201171875,3329.6201171875,3726220000.0,1.55,258.906,1.0,1.0,0.0,^GSPC
2020-01-18,3323.659912109375,3329.8798828125,3318.860107421875,3329.6201171875,3329.6201171875,3726220000.0,1.55,258.906,1.0,1.0,0.0,^GSPC
2020-01-19,3323.659912109375,3329.8798828125,3318.860107421875,3329.6201171875,3329.6201171875,3726220000.0,1.55,258.906,1.0,1.0,0.0,^GSPC
2020-01-20,3323.659912109375,3329.8798828125,3318.860107421875,3329.6201171875,3329.6201171875,3726220000.0,1.55,258.906,1.0,1.0,0.0,^GSPC
2020-01-21,3321.030029296875,3329.7900390625,3316.610107421875,3320.7900390625,3320.7900390625,4104840000.0,1.55,258.906,1.0,1.0,0.0,^GSPC
2020-01-22,3330.02001953125,3337.77001953125,3320.0400390625,3321.75,3321.75,3623780000.0,1.55,258.906,1.0,1.0,0.0,^GSPC
2020-01-23,3315.77001953125,3326.8798828125,3301.8701171875,3325.5400390625,3325.5400390625,3766710000.0,1.55,258.906,1.0,1.0,0.0,^GSPC
2020-01-24,3333.10009765625,3333.179931640625,3281.530029296875,3295.469970703125,3295.469970703125,3708780000.0,1.55,258.906,2.0,1.0,1.0,^GSPC
2020-01-25,3333.10009765625,3333.179931640625,3281.530029296875,3295.469970703125,3295.469970703125,3708780000.0,1.55,258.906,2.0,1.0,1.0,^GSPC
2020-01-26,3333.10009765625,3333.179931640625,3281.530029296875,3295.469970703125,3295.469970703125,3708780000.0,1.55,258.906,5.0,1.0,4.0,^GSPC
2020-01-27,3247.159912109375,3258.85009765625,3234.5,3243.6298828125,3243.6298828125,3831050000.0,1.55,258.906,5.0,1.0,4.0,^GSPC
2020-01-28,3255.35009765625,3285.780029296875,3253.219970703125,3276.239990234375,3276.239990234375,3531570000.0,1.55,258.906,5.0,1.0,4.0,^GSPC
2020-01-29,3289.4599609375,3293.469970703125,3271.889892578125,3273.39990234375,3273.39990234375,3600250000.0,1.55,258.906,6.0,1.0,5.0,^GSPC
2020-01-30,3256.449951171875,3285.909912109375,3242.800048828125,3283.659912109375,3283.659912109375,3790350000.0,1.6,258.906,6.0,1.0,5.0,^GSPC
